HouseID,City/Province,Location,Latitude,Longitude,Project,Property Type,Storeys,Bedrooms,Bathrooms,Floor Area,Land Area,Price,Description
1,Cainta,"Santo Domingo, Cainta",14.5823408,121.1180438,"Village East Executive Subdivision, Cainta",Townhouse,2,4,3,144.0,136.0,9500000.0,"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta"
2,Santa Maria,"San Vicente, Santa Maria",14.8077154,121.0024016,,House and Lot,0,3,2,63.2,80.0,4400000.0,"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan"
3,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",15.4777848,120.6140745,Camella Tarlac,House and Lot,2,5,3,100.0,110.0,7810000.0,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm
4,Abucay,"Gabon, Abucay",14.7178136,120.531325,,Single Detached,1,3,2,67.0,88.0,,"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan"
5,Zamboanga,"Zambowood Rd. Boalan, Zamboanga",6.9483885,122.1148889,Futura Homes Zamboanga,Townhouse,0,2,1,40.3,78.4,3275000.0,Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest
6,Tanza,"Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",14.3631351,120.8207756,Futura by Filinvest,House and Lot,0,0,0,39.6,100.0,3167300.0,"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest"
7,Santa Maria,"Santa Maria-San Jose Rd. Bulac, Santa Maria",14.8279751,121.0003891,"Marytown Place Ph2 in Santa Maria, Bulacan",Townhouse,2,2,2,52.0,40.0,1800000.0,"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)"
8,Subic,"Aningway Sacatihan, Subic",14.9131781,120.2282421,Camella Subic,House and Lot,2,5,3,142.0,121.0,8428000.0,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm"
9,Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",13.5979899,123.2430657,Camella Pili,House and Lot,0,2,1,46.0,63.0,3565000.0,2-Bedroom House and Lot For Sale in Camella Pili
10,Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa",14.4270005,121.0452782,"Likha Residences, Muntinlupa",Townhouse,3,3,3,219.3,90.0,28650000.0,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)"
