HouseID,Description,City/Province,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Latitude,Longitude,Property Type,Storeys,Project
1,"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta",Cainta,"Santo Domingo, Cainta",9500000.0,4,3,144.0,136.0,14.5823408,121.1180438,Townhouse,2,"Village East Executive Subdivision, Cainta"
2,"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan",Santa Maria,"San Vicente, Santa Maria",4400000.0,3,2,63.2,80.0,14.8077154,121.0024016,House and Lot,0,
3,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7810000.0,5,3,100.0,110.0,15.4777848,120.6140745,House and Lot,2,Camella Tarlac
4,"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan",Abucay,"Gabon, Abucay",,3,2,67.0,88.0,14.7178136,120.531325,Single Detached,1,
5,Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,Zamboanga,"Zambowood Rd. Boalan, Zamboanga",3275000.0,2,1,40.3,78.4,6.9483885,122.1148889,Townhouse,0,Futura Homes Zamboanga
6,"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest",Tanza,"Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3167300.0,0,0,39.6,100.0,14.3631351,120.8207756,House and Lot,0,Futura by Filinvest
7,"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)",Santa Maria,"Santa Maria-San Jose Rd. Bulac, Santa Maria",1800000.0,2,2,52.0,40.0,14.8279751,121.0003891,Townhouse,2,"Marytown Place Ph2 in Santa Maria, Bulacan"
8,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm",Subic,"Aningway Sacatihan, Subic",8428000.0,5,3,142.0,121.0,14.9131781,120.2282421,House and Lot,2,Camella Subic
9,2-Bedroom House and Lot For Sale in Camella Pili,Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3565000.0,2,1,46.0,63.0,13.5979899,123.2430657,House and Lot,0,Camella Pili
10,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa",28650000.0,3,3,219.3,90.0,14.4270005,121.0452782,Townhouse,3,"Likha Residences, Muntinlupa"
